alg,puzzle_size,f%,ants,subcolonies,q0,rho,bve,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm,cp_initial_mean,cp_ant_mean,ant_guessing_mean,coop_game_mean,pheromone_fusion_mean,public_path_mean,communication_time_mean,cp_total_mean,cp_percentage
3,16x16_02443,,3,4,0.9,0.9,0.005,20.0,100.0,0.71556,1.12536,179.13,,,0.000798,0.485714,0.001262,0.009172,0.0,0.000702,,0.486512,67.99
3,16x16_02446,,3,4,0.9,0.9,0.005,20.0,100.0,0.00993,0.00413,2.46,,,0.000957,0.006063,1.6e-05,0.00014,0.0,1.3e-05,,0.00702,70.69
3,16x16_02448,,3,4,0.9,0.9,0.005,20.0,100.0,0.27918,0.47623,74.69,,,0.00082,0.18955,0.000543,0.003856,0.0,0.000286,,0.19036999999999998,68.19
3,16x16_02449,,3,4,0.9,0.9,0.005,20.0,100.0,0.0199,0.01146,4.14,,,0.000774,0.013182,2.7e-05,0.000219,0.0,1.9e-05,,0.013956,70.13
3,16x16_02451,,3,4,0.9,0.9,0.005,20.0,100.0,0.0192,0.02635,5.9,,,0.000954,0.01216,3.2e-05,0.000311,0.0,2e-05,,0.013114,68.3
3,16x16_02452,,3,4,0.9,0.9,0.005,20.0,100.0,0.09545,0.1966,25.0,,,0.000846,0.064359,0.000181,0.001316,0.0,8.3e-05,,0.065205,68.31
3,16x16_02454,,3,4,0.9,0.9,0.005,20.0,100.0,0.0394,0.07169,10.14,,,0.000853,0.026251,5.5e-05,0.000537,0.0,3.3e-05,,0.027104,68.79
3,16x16_02456,,3,4,0.9,0.9,0.005,20.0,100.0,0.02232,0.02585,5.38,,,0.000918,0.014651,3.9e-05,0.000296,0.0,2.6e-05,,0.015569000000000001,69.75
3,16x16_02467,,3,4,0.9,0.9,0.005,20.0,100.0,0.0301,0.06277,9.38,,,0.000946,0.019513,5.3e-05,0.000504,0.0,3.7e-05,,0.020458999999999998,67.97
3,16x16_02468,,3,4,0.9,0.9,0.005,20.0,100.0,0.03243,0.03581,7.26,,,0.000832,0.021797,5.1e-05,0.000397,0.0,3.2e-05,,0.022629,69.78
3,16x16_02471,,3,4,0.9,0.9,0.005,20.0,100.0,0.05579,0.10579,14.65,,,0.000857,0.037276,8.1e-05,0.000773,0.0,4.5e-05,,0.03813299999999999,68.35
